÷§»Ø¥˙¬Î,÷§»Ø√˚≥∆,Ωª“◊ ±º‰,ø™≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€, ’≈Ãº€,’«µ¯,’«µ¯∑˘%,≥…Ωª¡ø,≥…Ωª∂Ó
600760,÷–∫Ω…Ú∑…,2020-01-02,120.2338,121.7806,118.9889,119.9697,0.7545,0.6329,"8,138,775","259,471,132"
600760,÷–∫Ω…Ú∑…,2020-01-03,120.2715,124.2705,119.3661,123.5915,3.6217,3.0189,"16,751,728","543,653,168"
600760,÷–∫Ω…Ú∑…,2020-01-06,126.1191,129.0240,124.3837,125.0628,1.4713,1.1905,"17,125,229","572,508,496"
600760,÷–∫Ω…Ú∑…,2020-01-07,124.5723,126.5718,122.9878,125.1382,0.0754,0.0603,"8,738,074","290,171,120"
600760,÷–∫Ω…Ú∑…,2020-01-08,128.3450,128.9109,124.2328,126.4587,1.3204,1.0552,"15,494,704","521,662,368"
600760,÷–∫Ω…Ú∑…,2020-01-09,122.9878,123.3651,121.1393,122.2333,-4.2253,-3.3413,"10,090,357","327,110,464"
600760,÷–∫Ω…Ú∑…,2020-01-10,121.8560,122.9124,118.8379,120.6111,-1.6222,-1.3272,"12,117,895","387,043,568"
600760,÷–∫Ω…Ú∑…,2020-01-13,121.8560,121.8560,119.2907,120.4224,-0.1886,-0.1564,"5,772,752","183,675,848"
600760,÷–∫Ω…Ú∑…,2020-01-14,120.4224,121.2524,118.0834,118.3098,-2.1127,-1.7544,"8,325,283","263,459,006"
600760,÷–∫Ω…Ú∑…,2020-01-15,118.2343,118.5361,115.5557,116.1971,-2.1127,-1.7857,"9,487,001","293,110,784"
600760,÷–∫Ω…Ú∑…,2020-01-16,116.4989,118.1211,115.1408,115.3671,-0.8300,-0.7143,"9,030,288","278,726,480"
600760,÷–∫Ω…Ú∑…,2020-01-17,115.4426,116.4989,114.4617,115.8576,0.4904,0.4251,"6,717,747","206,071,177"
600760,÷–∫Ω…Ú∑…,2020-01-20,115.7821,118.0834,115.4426,117.2912,1.4336,1.2374,"7,497,165","232,202,943"
600760,÷–∫Ω…Ú∑…,2020-01-21,117.3289,117.3289,112.7263,113.3299,-3.9613,-3.3773,"12,703,562","384,503,584"
600760,÷–∫Ω…Ú∑…,2020-01-22,113.1790,113.4808,110.6513,112.8017,-0.5282,-0.4661,"7,141,440","212,040,410"
600760,÷–∫Ω…Ú∑…,2020-01-23,111.2927,113.9335,108.6518,109.4064,-3.3954,-3.0100,"9,004,640","264,443,576"
600760,÷–∫Ω…Ú∑…,2020-02-03,98.4657,99.2580,98.4657,98.4657,-10.9406,-10.0000,"10,939,545","285,728,368"
600760,÷–∫Ω…Ú∑…,2020-02-04,94.3158,100.5784,94.3158,100.0502,1.5845,1.6092,"14,098,231","369,324,944"
600760,÷–∫Ω…Ú∑…,2020-02-05,100.0125,104.5774,99.8239,100.8802,0.8300,0.8296,"13,573,861","366,785,648"
600760,÷–∫Ω…Ú∑…,2020-02-06,101.2952,103.4456,100.0125,102.8420,1.9618,1.9447,"11,456,514","310,263,648"
600760,÷–∫Ω…Ú∑…,2020-02-07,102.8043,103.5588,101.4084,103.3701,0.5282,0.5136,"11,485,942","311,504,272"
600760,÷–∫Ω…Ú∑…,2020-02-10,102.9929,104.9169,102.4270,104.8792,1.5090,1.4598,"11,328,253","310,718,592"
600760,÷–∫Ω…Ú∑…,2020-02-11,105.2565,105.4451,103.1815,103.2570,-1.6222,-1.5468,"10,676,772","293,870,944"
600760,÷–∫Ω…Ú∑…,2020-02-12,103.2570,103.2947,101.8611,103.0683,-0.1886,-0.1827,"12,243,611","332,914,464"
600760,÷–∫Ω…Ú∑…,2020-02-13,103.5588,104.1247,101.1820,101.4838,-1.5845,-1.5373,"13,996,248","380,130,112"
600760,÷–∫Ω…Ú∑…,2020-02-14,101.3707,102.3893,100.7670,101.6347,0.1509,0.1487,"10,093,229","271,730,672"
600760,÷–∫Ω…Ú∑…,2020-02-17,102.6156,111.5945,102.6156,111.1795,9.5448,9.3912,"28,683,395","817,908,784"
600760,÷–∫Ω…Ú∑…,2020-02-18,112.4245,112.9904,107.5200,108.7273,-2.4522,-2.2056,"26,491,341","770,383,648"
600760,÷–∫Ω…Ú∑…,2020-02-19,107.3314,110.8400,106.0110,108.1237,-0.6036,-0.5552,"20,227,318","582,278,176"
600760,÷–∫Ω…Ú∑…,2020-02-20,108.3123,109.3309,106.3883,108.9536,0.8300,0.7676,"16,245,758","464,599,072"
600760,÷–∫Ω…Ú∑…,2020-02-21,109.0668,110.7268,108.2746,110.5759,1.6222,1.4889,"20,823,412","604,601,840"
600760,÷–∫Ω…Ú∑…,2020-02-24,110.5381,113.1035,109.0291,112.4999,1.9240,1.7400,"20,727,483","609,387,536"
